date,time,age,confirmed,deceased
01/04/2020,0,50s,1865,10
01/04/2020,0,60s,1245,23
01/04/2020,0,70s,658,46
01/04/2020,0,80s,452,84
02/04/2020,0,0s,119,0
02/04/2020,0,10s,522,0
02/04/2020,0,20s,2704,0
02/04/2020,0,30s,1043,1
02/04/2020,0,40s,1336,2
02/04/2020,0,50s,1878,11
02/04/2020,0,60s,1258,23
02/04/2020,0,70s,663,47
02/04/2020,0,80s,453,85
03/04/2020,0,0s,121,0
03/04/2020,0,10s,528,0
03/04/2020,0,20s,2734,0
03/04/2020,0,30s,1052,1
03/04/2020,0,40s,1350,2
03/04/2020,0,50s,1887,12
03/04/2020,0,60s,1266,24
03/04/2020,0,70s,668,49
03/04/2020,0,80s,456,86
04/04/2020,0,0s,122,0
04/04/2020,0,10s,530,0
04/04/2020,0,20s,2761,0
04/04/2020,0,30s,1066,1
04/04/2020,0,40s,1358,2
04/04/2020,0,50s,1898,12
04/04/2020,0,60s,1282,25
04/04/2020,0,70s,678,50
04/04/2020,0,80s,461,87
05/04/2020,0,0s,124,0
05/04/2020,0,10s,535,0
05/04/2020,0,20s,2789,0
05/04/2020,0,30s,1083,1
05/04/2020,0,40s,1370,2
05/04/2020,0,50s,1904,13
05/04/2020,0,60s,1289,25
05/04/2020,0,70s,681,51
05/04/2020,0,80s,462,91
06/04/2020,0,0s,126,0
06/04/2020,0,10s,542,0
06/04/2020,0,20s,2804,0
06/04/2020,0,30s,1086,1
06/04/2020,0,40s,1375,2
06/04/2020,0,50s,1906,13
06/04/2020,0,60s,1294,26
06/04/2020,0,70s,686,52
06/04/2020,0,80s,465,92
07/04/2020,0,0s,126,0
07/04/2020,0,10s,544,0
07/04/2020,0,20s,2819,0
07/04/2020,0,30s,1092,1
07/04/2020,0,40s,1382,2
07/04/2020,0,50s,1909,13
07/04/2020,0,60s,1304,26
07/04/2020,0,70s,689,57
07/04/2020,0,80s,466,93
08/04/2020,0,0s,126,0
08/04/2020,0,10s,548,0
08/04/2020,0,20s,2832,0
08/04/2020,0,30s,1102,1
08/04/2020,0,40s,1387,3
08/04/2020,0,50s,1915,13
08/04/2020,0,60s,1312,27
08/04/2020,0,70s,692,60
08/04/2020,0,80s,470,96
09/04/2020,0,0s,128,0
09/04/2020,0,10s,552,0
09/04/2020,0,20s,2844,0
09/04/2020,0,30s,1109,1
09/04/2020,0,40s,1394,3
09/04/2020,0,50s,1917,13
09/04/2020,0,60s,1314,27
09/04/2020,0,70s,692,60
09/04/2020,0,80s,473,100
10/04/2020,0,0s,129,0
10/04/2020,0,10s,553,0
10/04/2020,0,20s,2851,0
10/04/2020,0,30s,1113,1
10/04/2020,0,40s,1396,3
10/04/2020,0,50s,1920,13
10/04/2020,0,60s,1320,28
10/04/2020,0,70s,694,62
10/04/2020,0,80s,474,101
11/04/2020,0,0s,130,0
11/04/2020,0,10s,558,0
11/04/2020,0,20s,2856,0
11/04/2020,0,30s,1115,1
11/04/2020,0,40s,1399,3
11/04/2020,0,50s,1926,14
11/04/2020,0,60s,1327,29
11/04/2020,0,70s,694,63
11/04/2020,0,80s,475,101
12/04/2020,0,0s,130,0
12/04/2020,0,10s,561,0
12/04/2020,0,20s,2869,0
12/04/2020,0,30s,1120,1
12/04/2020,0,40s,1400,3
12/04/2020,0,50s,1930,14
12/04/2020,0,60s,1330,31
12/04/2020,0,70s,697,63
12/04/2020,0,80s,475,102
13/04/2020,0,0s,132,0
13/04/2020,0,10s,562,0
13/04/2020,0,20s,2879,0
13/04/2020,0,30s,1122,1
13/04/2020,0,40s,1401,3
13/04/2020,0,50s,1932,14
13/04/2020,0,60s,1335,32
13/04/2020,0,70s,698,64
13/04/2020,0,80s,476,103
14/04/2020,0,0s,132,0
14/04/2020,0,10s,565,0
14/04/2020,0,20s,2886,0
14/04/2020,0,30s,1126,1
14/04/2020,0,40s,1405,3
14/04/2020,0,50s,1935,14
14/04/2020,0,60s,1338,33
14/04/2020,0,70s,700,65
14/04/2020,0,80s,477,106
15/04/2020,0,0s,132,0
15/04/2020,0,10s,569,0
15/04/2020,0,20s,2895,0
15/04/2020,0,30s,1131,1
15/04/2020,0,40s,1408,3
15/04/2020,0,50s,1937,14
15/04/2020,0,60s,1339,33
15/04/2020,0,70s,702,68
15/04/2020,0,80s,478,106
16/04/2020,0,0s,135,0
16/04/2020,0,10s,572,0
16/04/2020,0,20s,2900,0
16/04/2020,0,30s,1132,1
16/04/2020,0,40s,1410,3
16/04/2020,0,50s,1940,14
16/04/2020,0,60s,1341,33
16/04/2020,0,70s,703,68
16/04/2020,0,80s,480,110
17/04/2020,0,0s,136,0
17/04/2020,0,10s,576,0
17/04/2020,0,20s,2909,0
17/04/2020,0,30s,1135,1
17/04/2020,0,40s,1411,3
17/04/2020,0,50s,1942,14
17/04/2020,0,60s,1342,33
17/04/2020,0,70s,704,68
17/04/2020,0,80s,480,111
18/04/2020,0,0s,138,0
18/04/2020,0,10s,576,0
18/04/2020,0,20s,2918,0
18/04/2020,0,30s,1136,1
18/04/2020,0,40s,1412,3
18/04/2020,0,50s,1944,15
18/04/2020,0,60s,1343,33
18/04/2020,0,70s,705,68
18/04/2020,0,80s,481,112
19/04/2020,0,0s,138,0
19/04/2020,0,10s,578,0
19/04/2020,0,20s,2921,0
19/04/2020,0,30s,1137,2
19/04/2020,0,40s,1412,3
19/04/2020,0,50s,1945,15
19/04/2020,0,60s,1343,34
19/04/2020,0,70s,705,68
19/04/2020,0,80s,482,112
20/04/2020,0,0s,138,0
20/04/2020,0,10s,581,0
20/04/2020,0,20s,2926,0
20/04/2020,0,30s,1139,2
20/04/2020,0,40s,1412,3
20/04/2020,0,50s,1948,15
20/04/2020,0,60s,1343,34
20/04/2020,0,70s,705,69
20/04/2020,0,80s,482,113
21/04/2020,0,0s,138,0
21/04/2020,0,10s,582,0
21/04/2020,0,20s,2928,0
21/04/2020,0,30s,1139,2
21/04/2020,0,40s,1413,3
21/04/2020,0,50s,1951,15
21/04/2020,0,60s,1343,34
21/04/2020,0,70s,706,70
21/04/2020,0,80s,483,113
22/04/2020,0,0s,138,0
22/04/2020,0,10s,583,0
22/04/2020,0,20s,2931,0
22/04/2020,0,30s,1140,2
22/04/2020,0,40s,1417,3
22/04/2020,0,50s,1951,15
22/04/2020,0,60s,1344,34
22/04/2020,0,70s,707,71
22/04/2020,0,80s,483,113
23/04/2020,0,0s,138,0
23/04/2020,0,10s,584,0
23/04/2020,0,20s,2933,0
23/04/2020,0,30s,1141,2
23/04/2020,0,40s,1418,3
23/04/2020,0,50s,1952,15
23/04/2020,0,60s,1344,35
23/04/2020,0,70s,708,71
23/04/2020,0,80s,484,114
24/04/2020,0,0s,138,0
24/04/2020,0,10s,585,0
24/04/2020,0,20s,2934,0
24/04/2020,0,30s,1142,2
24/04/2020,0,40s,1418,3
24/04/2020,0,50s,1953,15
24/04/2020,0,60s,1345,35
24/04/2020,0,70s,708,71
24/04/2020,0,80s,485,114
25/04/2020,0,0s,139,0
25/04/2020,0,10s,586,0
25/04/2020,0,20s,2937,0
25/04/2020,0,30s,1143,2
25/04/2020,0,40s,1420,3
25/04/2020,0,50s,1953,15
25/04/2020,0,60s,1347,35
25/04/2020,0,70s,708,71
25/04/2020,0,80s,485,114
26/04/2020,0,0s,140,0
26/04/2020,0,10s,586,0
26/04/2020,0,20s,2940,0
26/04/2020,0,30s,1147,2
26/04/2020,0,40s,1421,3
26/04/2020,0,50s,1953,15
26/04/2020,0,60s,1347,35
26/04/2020,0,70s,708,72
26/04/2020,0,80s,485,115
27/04/2020,0,0s,140,0
27/04/2020,0,10s,588,0
27/04/2020,0,20s,2943,0
27/04/2020,0,30s,1152,2
27/04/2020,0,40s,1422,3
27/04/2020,0,50s,1953,15
27/04/2020,0,60s,1347,35
27/04/2020,0,70s,708,72
27/04/2020,0,80s,485,116
28/04/2020,0,0s,140,0
28/04/2020,0,10s,590,0
28/04/2020,0,20s,2948,0
28/04/2020,0,30s,1154,2
28/04/2020,0,40s,1423,3
28/04/2020,0,50s,1955,15
28/04/2020,0,60s,1348,35
28/04/2020,0,70s,709,73
28/04/2020,0,80s,485,116
29/04/2020,0,0s,140,0
29/04/2020,0,10s,590,0
29/04/2020,0,20s,2951,0
29/04/2020,0,30s,1156,2
29/04/2020,0,40s,1426,3
29/04/2020,0,50s,1956,15
29/04/2020,0,60s,1348,35
29/04/2020,0,70s,709,73
29/04/2020,0,80s,485,118
30/04/2020,0,0s,140,0
30/04/2020,0,10s,590,0
30/04/2020,0,20s,2952,0
30/04/2020,0,30s,1158,2
30/04/2020,0,40s,1427,3
30/04/2020,0,50s,1956,15
30/04/2020,0,60s,1348,35
30/04/2020,0,70s,709,74
30/04/2020,0,80s,485,118
01/05/2020,0,0s,140,0
01/05/2020,0,10s,590,0
01/05/2020,0,20s,2957,0
01/05/2020,0,30s,1159,2
01/05/2020,0,40s,1429,3
01/05/2020,0,50s,1956,15
01/05/2020,0,60s,1348,35
01/05/2020,0,70s,709,75
01/05/2020,0,80s,486,118
02/05/2020,0,0s,140,0
02/05/2020,0,10s,590,0
02/05/2020,0,20s,2960,0
02/05/2020,0,30s,1160,2
02/05/2020,0,40s,1430,3
02/05/2020,0,50s,1956,15
02/05/2020,0,60s,1349,35
02/05/2020,0,70s,709,75
02/05/2020,0,80s,486,120
03/05/2020,0,0s,140,0
03/05/2020,0,10s,591,0
03/05/2020,0,20s,2962,0
03/05/2020,0,30s,1163,2
03/05/2020,0,40s,1432,3
03/05/2020,0,50s,1956,15
03/05/2020,0,60s,1351,35
03/05/2020,0,70s,710,75
03/05/2020,0,80s,488,120
04/05/2020,0,0s,140,0
04/05/2020,0,10s,591,0
04/05/2020,0,20s,2964,0
04/05/2020,0,30s,1164,2
04/05/2020,0,40s,1435,3
04/05/2020,0,50s,1956,15
04/05/2020,0,60s,1353,36
04/05/2020,0,70s,710,76
04/05/2020,0,80s,488,120
05/05/2020,0,0s,140,0
05/05/2020,0,10s,591,0
05/05/2020,0,20s,2964,0
05/05/2020,0,30s,1165,2
05/05/2020,0,40s,1436,3
05/05/2020,0,50s,1957,15
05/05/2020,0,60s,1353,36
05/05/2020,0,70s,710,76
05/05/2020,0,80s,488,122
06/05/2020,0,0s,140,0
06/05/2020,0,10s,591,0
06/05/2020,0,20s,2964,0
06/05/2020,0,30s,1166,2
06/05/2020,0,40s,1436,3
06/05/2020,0,50s,1957,15
06/05/2020,0,60s,1354,36
06/05/2020,0,70s,710,77
06/05/2020,0,80s,488,122
07/05/2020,0,0s,140,0
07/05/2020,0,10s,592,0
07/05/2020,0,20s,2966,0
07/05/2020,0,30s,1167,2
