date,hour,birth_year,sex,province,city,fp_num
2020-01-01,2,20,female,Seoul,Seongdong-gu,19760
2020-01-01,2,20,male,Seoul,Seongdong-gu,20850
2020-01-01,2,20,female,Seoul,Songpa-gu,45450
2020-01-01,2,20,male,Seoul,Songpa-gu,44890
2020-01-01,2,20,female,Seoul,Yangcheon-gu,28030
2020-01-01,2,20,male,Seoul,Yangcheon-gu,30210
2020-01-01,2,20,female,Seoul,Yeongdeungpo-gu,28710
2020-01-01,2,20,male,Seoul,Yeongdeungpo-gu,28290
2020-01-01,2,20,female,Seoul,Yongsan-gu,20720
2020-01-01,2,20,male,Seoul,Yongsan-gu,20410
2020-01-01,3,20,female,Seoul,Dobong-gu,20250
2020-01-01,3,20,male,Seoul,Dobong-gu,21360
2020-01-01,3,20,female,Seoul,Dongdaemun-gu,25480
2020-01-01,3,20,male,Seoul,Dongdaemun-gu,27370
2020-01-01,3,20,female,Seoul,Dongjag-gu,28360
2020-01-01,3,20,male,Seoul,Dongjag-gu,29930
2020-01-01,3,20,female,Seoul,Eunpyeong-gu,28910
2020-01-01,3,20,male,Seoul,Eunpyeong-gu,28680
2020-01-01,3,20,female,Seoul,Gangbuk-gu,19740
2020-01-01,3,20,male,Seoul,Gangbuk-gu,21690
2020-01-01,3,20,female,Seoul,Gangdong-gu,28130
2020-01-01,3,20,male,Seoul,Gangdong-gu,30670
2020-01-01,3,20,female,Seoul,Gangnam-gu,42050
2020-01-01,3,20,male,Seoul,Gangnam-gu,40920
2020-01-01,3,20,female,Seoul,Gangseo-gu,38470
2020-01-01,3,20,male,Seoul,Gangseo-gu,38360
2020-01-01,3,20,female,Seoul,Geumcheon-gu,15010
2020-01-01,3,20,male,Seoul,Geumcheon-gu,16830
2020-01-01,3,20,female,Seoul,Guro-gu,25970
2020-01-01,3,20,male,Seoul,Guro-gu,27040
2020-01-01,3,20,female,Seoul,Gwanak-gu,42170
2020-01-01,3,20,male,Seoul,Gwanak-gu,45910
2020-01-01,3,20,female,Seoul,Gwangjin-gu,30990
2020-01-01,3,20,male,Seoul,Gwangjin-gu,31940
2020-01-01,3,20,female,Seoul,Jongno-gu,15480
2020-01-01,3,20,male,Seoul,Jongno-gu,15750
2020-01-01,3,20,female,Seoul,Jung-gu,11310
2020-01-01,3,20,male,Seoul,Jung-gu,11460
2020-01-01,3,20,female,Seoul,Jungnang-gu,25160
2020-01-01,3,20,male,Seoul,Jungnang-gu,25980
2020-01-01,3,20,female,Seoul,Mapo-gu,36760
2020-01-01,3,20,male,Seoul,Mapo-gu,37160
2020-01-01,3,20,female,Seoul,Nowon-gu,34770
2020-01-01,3,20,male,Seoul,Nowon-gu,39190
2020-01-01,3,20,female,Seoul,Seocho-gu,31560
2020-01-01,3,20,male,Seoul,Seocho-gu,29780
2020-01-01,3,20,female,Seoul,Seodaemun-gu,25240
2020-01-01,3,20,male,Seoul,Seodaemun-gu,24550
2020-01-01,3,20,female,Seoul,Seongbuk-gu,30810
2020-01-01,3,20,male,Seoul,Seongbuk-gu,30260
2020-01-01,3,20,female,Seoul,Seongdong-gu,19750
2020-01-01,3,20,male,Seoul,Seongdong-gu,20890
2020-01-01,3,20,female,Seoul,Songpa-gu,44900
2020-01-01,3,20,male,Seoul,Songpa-gu,44490
2020-01-01,3,20,female,Seoul,Yangcheon-gu,28190
2020-01-01,3,20,male,Seoul,Yangcheon-gu,30400
2020-01-01,3,20,female,Seoul,Yeongdeungpo-gu,28270
2020-01-01,3,20,male,Seoul,Yeongdeungpo-gu,27960
2020-01-01,3,20,female,Seoul,Yongsan-gu,20150
2020-01-01,3,20,male,Seoul,Yongsan-gu,19700
2020-01-01,4,20,female,Seoul,Dobong-gu,20490
2020-01-01,4,20,male,Seoul,Dobong-gu,21730
2020-01-01,4,20,female,Seoul,Dongdaemun-gu,25560
2020-01-01,4,20,male,Seoul,Dongdaemun-gu,27480
2020-01-01,4,20,female,Seoul,Dongjag-gu,28510
2020-01-01,4,20,male,Seoul,Dongjag-gu,30010
2020-01-01,4,20,female,Seoul,Eunpyeong-gu,28860
2020-01-01,4,20,male,Seoul,Eunpyeong-gu,28850
2020-01-01,4,20,female,Seoul,Gangbuk-gu,19640
2020-01-01,4,20,male,Seoul,Gangbuk-gu,21510
2020-01-01,4,20,female,Seoul,Gangdong-gu,28090
2020-01-01,4,20,male,Seoul,Gangdong-gu,30440
2020-01-01,4,20,female,Seoul,Gangnam-gu,41620
2020-01-01,4,20,male,Seoul,Gangnam-gu,40600
2020-01-01,4,20,female,Seoul,Gangseo-gu,38660
2020-01-01,4,20,male,Seoul,Gangseo-gu,38330
2020-01-01,4,20,female,Seoul,Geumcheon-gu,15200
2020-01-01,4,20,male,Seoul,Geumcheon-gu,17090
2020-01-01,4,20,female,Seoul,Guro-gu,26010
2020-01-01,4,20,male,Seoul,Guro-gu,27020
2020-01-01,4,20,female,Seoul,Gwanak-gu,42210
2020-01-01,4,20,male,Seoul,Gwanak-gu,45780
2020-01-01,4,20,female,Seoul,Gwangjin-gu,30770
2020-01-01,4,20,male,Seoul,Gwangjin-gu,31470
2020-01-01,4,20,female,Seoul,Jongno-gu,15200
2020-01-01,4,20,male,Seoul,Jongno-gu,15440
2020-01-01,4,20,female,Seoul,Jung-gu,11190
2020-01-01,4,20,male,Seoul,Jung-gu,11240
2020-01-01,4,20,female,Seoul,Jungnang-gu,25230
2020-01-01,4,20,male,Seoul,Jungnang-gu,26160
2020-01-01,4,20,female,Seoul,Mapo-gu,35940
2020-01-01,4,20,male,Seoul,Mapo-gu,36400
2020-01-01,4,20,female,Seoul,Nowon-gu,34700
2020-01-01,4,20,male,Seoul,Nowon-gu,38830
2020-01-01,4,20,female,Seoul,Seocho-gu,31090
2020-01-01,4,20,male,Seoul,Seocho-gu,29250
2020-01-01,4,20,female,Seoul,Seodaemun-gu,25370
2020-01-01,4,20,male,Seoul,Seodaemun-gu,24420
2020-01-01,4,20,female,Seoul,Seongbuk-gu,30870
2020-01-01,4,20,male,Seoul,Seongbuk-gu,30460
2020-01-01,4,20,female,Seoul,Seongdong-gu,19790
